title,artist,link
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine Untitled - Abstract Orange,https://collections.ed.ac.uk/art/record/99442?highlight=*:*
Portrait of a Man (1980s),Kirsty E. Raitt Portrait of a Man ,https://collections.ed.ac.uk/art/record/21439?highlight=*:*
Standing Male Nude (1959),Grace Nichol Standing Male Nude ,https://collections.ed.ac.uk/art/record/20956?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Riders from the North Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20699?highlight=*:*
Portrait of a Woman (1956),Joan Rogers Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21187?highlight=*:*
Unknown (1964),McKinnell Unknown ,https://collections.ed.ac.uk/art/record/50478?highlight=*:*
Espresso Cup,Emma Gillies Espresso Cup,https://collections.ed.ac.uk/art/record/53699?highlight=*:*
Two Standing Male Nudes (24 JAN 1951),Norma G Reid Two Standing Male Nudes ,https://collections.ed.ac.uk/art/record/21393?highlight=*:*
Untitled (1963),Madelene R Galloway Untitled ,https://collections.ed.ac.uk/art/record/99821?highlight=*:*
Sixteen Boxes,John Mooney Sixteen Boxes,https://collections.ed.ac.uk/art/record/21804?highlight=*:*
Unknown (1950),Patrick W. Barclay Unknown ,https://collections.ed.ac.uk/art/record/50621?highlight=*:*
Lid,Emma Gillies Lid,https://collections.ed.ac.uk/art/record/122076?highlight=*:*
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne Untitled - Abstract Green,https://collections.ed.ac.uk/art/record/99388?highlight=*:*
Portrait of a Man (1939),Jessie May Stirling Portrait of a Man ,https://collections.ed.ac.uk/art/record/21134?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm Reclining Nude with Jacket ,https://collections.ed.ac.uk/art/record/21266?highlight=*:*
John Stone (1950),David McClure John Stone ,https://collections.ed.ac.uk/art/record/22666?highlight=*:*
Standing Nude Woman (1964),William M. McG. Gillon Standing Nude Woman ,https://collections.ed.ac.uk/art/record/122755?highlight=*:*
Nude Woman Sitting (1952),Ian Lawson Nude Woman Sitting ,https://collections.ed.ac.uk/art/record/122700?highlight=*:*
Untitled (1964),James Goodall Untitled ,https://collections.ed.ac.uk/art/record/99847?highlight=*:*
Untitled,Unknown Untitled,https://collections.ed.ac.uk/art/record/99860?highlight=*:*
